Category	ID	Term	Genes	adj_pval
BP	GO:0043207	response to external biotic stimulus	ABCC2,APOA4,APOB,BANK1,BST2,CARD16,CASP1,CCL5,CD24,CD36,CIITA,CMPK2,CYBA,DDX60,ENO1,GBP1,GBP2,GBP4,GBP5,HLA-E,HMGB2,IFI27,IFI30,IFI44L,IFITM1,IFITM3,IGHA1,IGHM,IL6R,IRF1,ISG15,ISG20,JAK2,KRT8,LGALS9,LPL,MAOB,NLRC5,NOS2,OAS1,OAS3,ODC1,PARP14,PARP9,PCK1,PIM2,PPARGC1A,PRDM1,PRKD1,PSMB8,PYCARD,REG4,RSAD2,SARM1,STAT1,TNIP3,TRIM31,UBD,VNN1,XAF1,XBP1	2.00E-10
BP	GO:0071345	cellular response to cytokine stimulus	ABCC2,ACKR4,APOB,ASAH2,BIRC3,BST2,C1orf186,CASP1,CCL5,CCND1,CD36,CIITA,CYBA,GBP1,GBP2,GBP4,GBP5,GCLM,HLA-E,HSP90AA1,HSP90B1,HSPA5,IFI27,IFI30,IFITM1,IFITM3,IGHG1,IGHG4,IL32,IL6R,IRF1,IRS2,ISG15,ISG20,JAK2,KRT8,LGALS9,MME,NOS2,OAS1,OAS3,PCK1,PDIA3,PPARGC1A,PSMB8,PSMB9,PSME2,PYCARD,RSAD2,STAT1,TNFRSF17,TRIM31,TUBA1B,XAF1,XBP1	2.00E-10
BP	GO:0009605	response to external stimulus	ABCC2,ACAT1,AOC1,APOA1,APOA4,APOB,BANK1,BST2,CARD16,CASP1,CCL5,CCND1,CD24,CD36,CIITA,CMPK2,CNGA1,CYBA,DCC,DDX60,DOCK2,ENO1,ENPP2,G6PC,GBP1,GBP2,GBP4,GBP5,GCLM,GRB10,HLA-E,HMGB2,HSP90B1,HSPA5,IFI27,IFI30,IFI44L,IFITM1,IFITM3,IGFBP2,IGHA1,IGHM,IL6R,IRF1,IRS2,ISG15,ISG20,JAK2,KRT20,KRT8,LGALS9,LPL,MAOB,MATN2,NLRC5,NOS2,NRG1,NRG3,OAS1,OAS3,ODC1,OGG1,OXCT1,PARK2,PARP14,PARP9,PCK1,PCNA,PDK4,PIM2,PPARGC1A,PRDM1,PRKD1,PSMB8,PYCARD,REG4,RSAD2,SARM1,SCTR,SLC6A4,SORD,STAT1,TNIP3,TRIM31,UBD,UNC5D,VNN1,XAF1,XBP1	2.00E-10
BP	GO:0009607	response to biotic stimulus	ABCC2,APOA4,APOB,BANK1,BST2,CARD16,CASP1,CCL5,CD24,CD36,CIITA,CMPK2,CYBA,DDX60,ENO1,GBP1,GBP2,GBP4,GBP5,HLA-E,HMGB2,HSPA5,IFI27,IFI30,IFI44L,IFITM1,IFITM3,IGHA1,IGHM,IL6R,IRF1,ISG15,ISG20,JAK2,KRT8,LGALS9,LPL,MAOB,NLRC5,NOS2,OAS1,OAS3,ODC1,PARP14,PARP9,PCK1,PIM2,PPARGC1A,PRDM1,PRKD1,PSMB8,PYCARD,REG4,RSAD2,SARM1,STAT1,TNIP3,TRIM31,UBD,VNN1,XAF1,XBP1	2.00E-10
BP	GO:0051707	response to other organism	ABCC2,APOA4,APOB,BANK1,BST2,CARD16,CASP1,CCL5,CD24,CD36,CIITA,CMPK2,CYBA,DDX60,ENO1,GBP1,GBP2,GBP4,GBP5,HLA-E,HMGB2,IFI27,IFI30,IFI44L,IFITM1,IFITM3,IGHA1,IGHM,IL6R,IRF1,ISG15,ISG20,JAK2,KRT8,LGALS9,LPL,MAOB,NLRC5,NOS2,OAS1,OAS3,ODC1,PARP14,PARP9,PCK1,PIM2,PPARGC1A,PRDM1,PRKD1,PSMB8,PYCARD,REG4,RSAD2,SARM1,STAT1,TNIP3,TRIM31,UBD,VNN1,XAF1,XBP1	2.00E-10
BP	GO:0034097	response to cytokine	ABCC2,ACKR4,APOB,ASAH2,BIRC3,BST2,C1orf186,CASP1,CCL5,CCND1,CD36,CIITA,CYBA,GBP1,GBP2,GBP4,GBP5,GCLM,HLA-E,HSP90AA1,HSP90B1,HSPA5,IFI27,IFI30,IFITM1,IFITM3,IGHG1,IGHG4,IL32,IL6R,IRF1,IRS2,ISG15,ISG20,JAK2,KRT8,LGALS9,MME,NOS2,OAS1,OAS3,PCK1,PDIA3,PPARGC1A,PSMB8,PSMB9,PSME2,PYCARD,RSAD2,STAT1,TNFRSF17,TRIM31,TUBA1B,UBD,XAF1,XBP1	8.00E-10
BP	GO:0071357	cellular response to type I interferon	BST2,GBP2,HLA-E,IFI27,IFITM1,IFITM3,IRF1,ISG15,ISG20,OAS1,OAS3,PSMB8,RSAD2,STAT1,XAF1	1.20E-09
BP	GO:0060337	type I interferon signaling pathway	BST2,GBP2,HLA-E,IFI27,IFITM1,IFITM3,IRF1,ISG15,ISG20,OAS1,OAS3,PSMB8,RSAD2,STAT1,XAF1	1.20E-09
BP	GO:0034341	response to interferon-gamma	BST2,CASP1,CCL5,CIITA,GBP1,GBP2,GBP4,GBP5,HLA-E,IFI30,IFITM1,IFITM3,IRF1,JAK2,LGALS9,NOS2,OAS1,OAS3,STAT1,TRIM31,UBD	1.30E-09
BP	GO:0034340	response to type I interferon	BST2,GBP2,HLA-E,IFI27,IFITM1,IFITM3,IRF1,ISG15,ISG20,OAS1,OAS3,PSMB8,RSAD2,STAT1,XAF1	3.10E-09
