Sample_Group_VS_Control_Group	gene	log2FoldChange	pvalue	padj	mean_norm_counts	IS_Significant	Regulation_direction
challenge VS control	TSPAN6	0.14	0.584955495	7.84E-01	4.51	NO	No_Regulation
challenge VS control	DPM1	0.16	0.361303672	6.10E-01	21.96	NO	No_Regulation
challenge VS control	SCYL3	-0.05	0.823931183	9.19E-01	13.02	NO	No_Regulation
challenge VS control	C1orf112	-0.23	0.356581622	6.05E-01	6.6	NO	No_Regulation
challenge VS control	CFH	0.42	0.048909682	1.83E-01	25.95	NO	No_Regulation
challenge VS control	FUCA2	-0.09	0.634745516	8.16E-01	16.7	NO	No_Regulation
challenge VS control	GCLC	-0.31	0.036175458	1.50E-01	36.4	NO	No_Regulation
challenge VS control	NFYA	0.11	0.611825415	8.02E-01	11.48	NO	No_Regulation
challenge VS control	STPG1	-0.47	0.043813626	1.70E-01	7.26	NO	No_Regulation
challenge VS control	NIPAL3	-0.08	0.611500631	8.02E-01	31.7	NO	No_Regulation
challenge VS control	LAS1L	0.42	0.109445717	3.06E-01	4.58	NO	No_Regulation
challenge VS control	ENPP4	-0.14	0.588462996	7.86E-01	7.9	NO	No_Regulation
challenge VS control	CFTR	-0.34	0.035018164	1.46E-01	225.28	NO	No_Regulation
challenge VS control	ANKIB1	-0.08	0.458250957	6.92E-01	112.22	NO	No_Regulation
challenge VS control	CYP51A1	0.05	0.807567428	9.10E-01	41.97	NO	No_Regulation
challenge VS control	KRIT1	-0.07	0.576241663	7.79E-01	42.28	NO	No_Regulation
challenge VS control	RAD52	-0.15	0.505210221	7.28E-01	12.33	NO	No_Regulation
challenge VS control	BAD	-0.13	0.589303143	7.86E-01	6.44	NO	No_Regulation
challenge VS control	LAP3	0.73	5.52E-05	1.20E-03	36.14	NO	No_Regulation
challenge VS control	HS3ST1	0.34	0.176819976	4.07E-01	8.4	NO	No_Regulation
challenge VS control	AOC1	-1.08	3.91E-07	2.50E-05	22.31	YES	Down-Regulated in Sample Group
challenge VS control	MAD1L1	0.29	0.088850267	2.71E-01	20.4	NO	No_Regulation
challenge VS control	LASP1	-0.35	0.015862194	8.45E-02	63.13	NO	No_Regulation
challenge VS control	TMEM176A	-0.56	0.030558246	1.33E-01	9.56	NO	No_Regulation
challenge VS control	M6PR	0.21	0.305232782	5.55E-01	15.39	NO	No_Regulation
challenge VS control	KLHL13	-0.28	0.203131662	4.41E-01	17.1	NO	No_Regulation
challenge VS control	ICA1	-0.04	0.827215914	9.21E-01	39.05	NO	No_Regulation
challenge VS control	ALS2	-0.18	0.335494066	5.83E-01	21.39	NO	No_Regulation
challenge VS control	CASP10	0.3	0.110971197	3.09E-01	25.7	NO	No_Regulation
challenge VS control	CFLAR	-0.2	0.077215353	2.47E-01	94.6	NO	No_Regulation
challenge VS control	TFPI	-0.67	1.69E-05	4.83E-04	98.43	NO	No_Regulation
challenge VS control	NDUFAF7	-0.19	0.318657681	5.69E-01	13.56	NO	No_Regulation
challenge VS control	RBM5	0.09	0.456531279	6.91E-01	72.52	NO	No_Regulation
challenge VS control	SARM1	-0.71	4.77E-04	6.57E-03	14.66	NO	No_Regulation
challenge VS control	POLDIP2	0.22	0.311002681	5.61E-01	11.14	NO	No_Regulation
challenge VS control	PLXND1	-0.2	0.448049285	6.85E-01	6.39	NO	No_Regulation
challenge VS control	AK2	-0.15	0.382661774	6.29E-01	27.84	NO	No_Regulation
challenge VS control	CD38	0.69	0.001603634	1.65E-02	50.99	NO	No_Regulation
challenge VS control	FKBP4	0.2	0.374177016	6.22E-01	9.62	NO	No_Regulation
challenge VS control	KDM1A	0.13	0.455099355	6.90E-01	24.3	NO	No_Regulation
challenge VS control	RBM6	-0.06	0.66250045	8.32E-01	182.51	NO	No_Regulation
challenge VS control	RECQL	0.32	0.134239118	3.48E-01	12.68	NO	No_Regulation
